date,amount,category,description
2024-03-01,1500.00,Rent,Monthly rent
2024-03-02,200.00,Food,Grocery shopping
2024-03-03,50.00,Entertainment,Movie night
2024-03-05,15.99,Subscriptions,Netflix
2024-03-07,500.00,Savings,Monthly savings
2024-03-08,100.00,Food,Restaurant dinner
2024-03-10,300.00,Debt Payments,Credit card payment
2024-03-12,75.00,Entertainment,Concert tickets
2024-03-15,150.00,Food,Weekly groceries
2024-03-15,200.00,Travel,Train tickets
2024-03-17,45.00,Entertainment,Bowling night
2024-03-18,12.99,Subscriptions,Spotify
2024-03-20,300.00,Savings,Extra savings
2024-03-22,80.00,Food,Restaurant lunch
2024-03-25,150.00,Food,Grocery shopping
2024-03-27,25.00,Entertainment,App purchases
2024-03-28,400.00,Debt Payments,Student loan payment
2024-03-30,100.00,Travel,Weekend trip